Codi_Districte,Nom_Districte,Nom_Carrer,Personas,Promedio_Import_Euros,Vehicles
6,Gràcia,Pi i Margall,121915,18340.74712643678,57643
7,Horta-Guinardó,Rda Guinardó,172109,15152.317073170732,80895
1,Ciutat Vella,Llebre,106028,11517.703703703704,33685
6,Gràcia,Medes,121915,18340.74712643678,57643
9,Sant Andreu,Montsec,149826,15124.747368421053,65745
1,Ciutat Vella,Nou de Dulce,106028,11517.703703703704,33685
10,Sant Martí,Ptge Oriol,239465,15323.08843537415,103094
1,Ciutat Vella,Pl Poeta Boscà,106028,11517.703703703704,33685
7,Horta-Guinardó,Ritme,172109,15152.317073170732,80895
7,Horta-Guinardó,Santa Joana d'Arc,172109,15152.317073170732,80895
8,Nou Barris,Vidal i Guasch,170736,12431.811965811965,66780
10,Sant Martí,Moscou,239465,15323.08843537415,103094
3,Sants-Montjuïc,Gernika,183770,14625.393162393162,79559
3,Sants-Montjuïc,Pl Volta Ciclista ,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Violer,148201,25606.775510204083,102272
7,Horta-Guinardó,Brussel·les,172109,15152.317073170732,80895
3,Sants-Montjuïc,Callao,183770,14625.393162393162,79559
4,Les Corts,Torrent Roses,81074,22022.035087719298,48622
5,Sarrià-Sant Gervasi,Ptge Forasté,148201,25606.775510204083,102272
1,Ciutat Vella,Av Drassanes,106028,11517.703703703704,33685
1,Ciutat Vella,Jovellanos,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Lohengrin,148201,25606.775510204083,102272
1,Ciutat Vella,Pas Sota Muralla,106028,11517.703703703704,33685
8,Nou Barris,Ptge Pitàgores,170736,12431.811965811965,66780
5,Sarrià-Sant Gervasi,Regàs,148201,25606.775510204083,102272
6,Gràcia,Santuari,121915,18340.74712643678,57643
3,Sants-Montjuïc,Guàrdia Urbana,183770,14625.393162393162,79559
6,Gràcia,Rier Can Toda,121915,18340.74712643678,57643
4,Les Corts,Ptge Tubella,81074,22022.035087719298,48622
3,Sants-Montjuïc,Viladecans,183770,14625.393162393162,79559
8,Nou Barris,Pollença,170736,12431.811965811965,66780
1,Ciutat Vella,Pl Raimon Noguera,106028,11517.703703703704,33685
8,Nou Barris,Agullana,170736,12431.811965811965,66780
6,Gràcia,Balcells,121915,18340.74712643678,57643
1,Ciutat Vella,Baluard,106028,11517.703703703704,33685
9,Sant Andreu,Barri Vermell,149826,15124.747368421053,65745
8,Nou Barris,Borràs,170736,12431.811965811965,66780
2,Eixample,Ptge Clip,266857,18867.71676300578,128137
3,Sants-Montjuïc,D Zona Franca,183770,14625.393162393162,79559
7,Horta-Guinardó,Av Frederic Rahola,172109,15152.317073170732,80895
9,Sant Andreu,Gitanilla,149826,15124.747368421053,65745
8,Nou Barris,Manuel Sancho,170736,12431.811965811965,66780
8,Nou Barris,Oriol,170736,12431.811965811965,66780
3,Sants-Montjuïc,Portugalete,183770,14625.393162393162,79559
3,Sants-Montjuïc,Príncep Jordi,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Rafael Batlle,148201,25606.775510204083,102272
4,Les Corts,Rita Bonnat,81074,22022.035087719298,48622
5,Sarrià-Sant Gervasi,Santa Amèlia,148201,25606.775510204083,102272
6,Gràcia,Trav Gràcia,121915,18340.74712643678,57643
1,Ciutat Vella,Pl Genescà Coromin,106028,11517.703703703704,33685
3,Sants-Montjuïc,Transversal 17,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Joan Ferrándiz,148201,25606.775510204083,102272
1,Ciutat Vella,Pl Idrissa Diallo,106028,11517.703703703704,33685
7,Horta-Guinardó,Abd el-Kader,172109,15152.317073170732,80895
7,Horta-Guinardó,Albert Llanas,172109,15152.317073170732,80895
1,Ciutat Vella,Anisadeta,106028,11517.703703703704,33685
3,Sants-Montjuïc,Badalona,183770,14625.393162393162,79559
6,Gràcia,Calendau,121915,18340.74712643678,57643
1,Ciutat Vella,Cervantes,106028,11517.703703703704,33685
8,Nou Barris,Ptge Escòcia,170736,12431.811965811965,66780
6,Gràcia,Escorial,121915,18340.74712643678,57643
10,Sant Martí,Escoles,239465,15323.08843537415,103094
4,Les Corts,Av Esplugues,81074,22022.035087719298,48622
2,Eixample,Ptge Igualtat,266857,18867.71676300578,128137
9,Sant Andreu,Juan de Garay,149826,15124.747368421053,65745
5,Sarrià-Sant Gervasi,Martorell i Peña,148201,25606.775510204083,102272
10,Sant Martí,Ptge Mas de Roda,239465,15323.08843537415,103094
5,Sarrià-Sant Gervasi,Mont d'Orsà,148201,25606.775510204083,102272
8,Nou Barris,Ogassa,170736,12431.811965811965,66780
1,Ciutat Vella,Pescateria,106028,11517.703703703704,33685
1,Ciutat Vella,Quintana,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Ctra S Creu Sarrià,148201,25606.775510204083,102272
2,Eixample,Rda Universitat,266857,18867.71676300578,128137
6,Gràcia,Vallfogona,121915,18340.74712643678,57643
4,Les Corts,Drs Trias i Pujol,81074,22022.035087719298,48622
3,Sants-Montjuïc,Longitudinal 10,183770,14625.393162393162,79559
1,Ciutat Vella,Pl Rosa dels Vents,106028,11517.703703703704,33685
3,Sants-Montjuïc,A Zona Franca,183770,14625.393162393162,79559
1,Ciutat Vella,Almogàvers,106028,11517.703703703704,33685
2,Eixample,Ptge Aragó,266857,18867.71676300578,128137
4,Les Corts,Bordeus,81074,22022.035087719298,48622
9,Sant Andreu,Ptge Can Berdura,149826,15124.747368421053,65745
2,Eixample,Sardenya,266857,18867.71676300578,128137
1,Ciutat Vella,Cucurulla,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Escoles Pies,148201,25606.775510204083,102272
3,Sants-Montjuïc,Av Castell,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Hurtado,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Pl Joan Llongueras,148201,25606.775510204083,102272
8,Nou Barris,Jota,170736,12431.811965811965,66780
7,Horta-Guinardó,Juan Valera,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Ptge Maluquer,148201,25606.775510204083,102272
3,Sants-Montjuïc,Av F Ferrer Guàrdi,183770,14625.393162393162,79559
8,Nou Barris,Masquefa,170736,12431.811965811965,66780
10,Sant Martí,Menorca,239465,15323.08843537415,103094
8,Nou Barris,Pintor Mir,170736,12431.811965811965,66780
1,Ciutat Vella,Palau de la Música,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Sol i Padrís,148201,25606.775510204083,102272
9,Sant Andreu,Tiana,149826,15124.747368421053,65745
3,Sants-Montjuïc,Vallespir,183770,14625.393162393162,79559
3,Sants-Montjuïc,Número 50,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Camí Ciureny,148201,25606.775510204083,102272
4,Les Corts,Lluís Solé Sabarís,81074,22022.035087719298,48622
1,Ciutat Vella,Pl Antoni Maura,106028,11517.703703703704,33685
7,Horta-Guinardó,Baix de Mariner,172109,15152.317073170732,80895
9,Sant Andreu,Capella,149826,15124.747368421053,65745
1,Ciutat Vella,Doctor Dou,106028,11517.703703703704,33685
4,Les Corts,Enric Morera,81074,22022.035087719298,48622
3,Sants-Montjuïc,Pg Escullera,183770,14625.393162393162,79559
10,Sant Martí,Ferrer Bassa,239465,15323.08843537415,103094
1,Ciutat Vella,Flor de Lliri,106028,11517.703703703704,33685
7,Horta-Guinardó,Francesc Alegre,172109,15152.317073170732,80895
6,Gràcia,Oreneta,121915,18340.74712643678,57643
9,Sant Andreu,Ptge Irlanda,149826,15124.747368421053,65745
3,Sants-Montjuïc,Joan Güell,183770,14625.393162393162,79559
1,Ciutat Vella,Pl Llana,106028,11517.703703703704,33685
4,Les Corts,Loreto,81074,22022.035087719298,48622
6,Gràcia,Lorda,121915,18340.74712643678,57643
4,Les Corts,Marquès Mulhacén,81074,22022.035087719298,48622
3,Sants-Montjuïc,Montfar,183770,14625.393162393162,79559
8,Nou Barris,Ojeda,170736,12431.811965811965,66780
4,Les Corts,Pau Gargallo,81074,22022.035087719298,48622
3,Sants-Montjuïc,Rodríguez,183770,14625.393162393162,79559
8,Nou Barris,Sabastida,170736,12431.811965811965,66780
3,Sants-Montjuïc,Pl Sant Jordi,183770,14625.393162393162,79559
2,Eixample,Sepúlveda,266857,18867.71676300578,128137
1,Ciutat Vella,Simó Oller,106028,11517.703703703704,33685
8,Nou Barris,Av Sivatte,170736,12431.811965811965,66780
10,Sant Martí,Xavier Nogués,239465,15323.08843537415,103094
3,Sants-Montjuïc,Número 4,183770,14625.393162393162,79559
1,Ciutat Vella,Doctor Aiguader,106028,11517.703703703704,33685
7,Horta-Guinardó,Alguer,172109,15152.317073170732,80895
1,Ciutat Vella,Amargós,106028,11517.703703703704,33685
1,Ciutat Vella,Banys Vells,106028,11517.703703703704,33685
8,Nou Barris,Borges Blanques,170736,12431.811965811965,66780
1,Ciutat Vella,Pg Born,106028,11517.703703703704,33685
7,Horta-Guinardó,Camí Can Borni,172109,15152.317073170732,80895
7,Horta-Guinardó,Coïmbra,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Menta,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Immaculada,148201,25606.775510204083,102272
8,Nou Barris,Maestrat,170736,12431.811965811965,66780
4,Les Corts,Mejía Lequerica,81074,22022.035087719298,48622
9,Sant Andreu,Renart,149826,15124.747368421053,65745
6,Gràcia,Vila de Roses,121915,18340.74712643678,57643
7,Horta-Guinardó,Sant Gaudenci,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Ctra Sarrià Vallvi,148201,25606.775510204083,102272
7,Horta-Guinardó,Pl Taxonera,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Ptge Torras Bages,148201,25606.775510204083,102272
7,Horta-Guinardó,Rbla Volart,172109,15152.317073170732,80895
10,Sant Martí,SN(Pujades Llatzar,239465,15323.08843537415,103094
10,Sant Martí,Joan Miró,239465,15323.08843537415,103094
3,Sants-Montjuïc,Av Número 5,183770,14625.393162393162,79559
3,Sants-Montjuïc,28 del BZ,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Comte de Sert,148201,25606.775510204083,102272
4,Les Corts,Dr Nubiola Espinós,81074,22022.035087719298,48622
10,Sant Martí,Edison,239465,15323.08843537415,103094
3,Sants-Montjuïc,Indíbil,183770,14625.393162393162,79559
1,Ciutat Vella,Marlet,106028,11517.703703703704,33685
9,Sant Andreu,Pare Manyanet,149826,15124.747368421053,65745
6,Gràcia,Pl Rovira i Trias,121915,18340.74712643678,57643
5,Sarrià-Sant Gervasi,Santpedor,148201,25606.775510204083,102272
6,Gràcia,Sant Salvador,121915,18340.74712643678,57643
4,Les Corts,Sants,81074,22022.035087719298,48622
6,Gràcia,Torrent Vidalet,121915,18340.74712643678,57643
5,Sarrià-Sant Gervasi,Margalló,148201,25606.775510204083,102272
10,Sant Martí,Torà,239465,15323.08843537415,103094
10,Sant Martí,Ptja Bogatell,239465,15323.08843537415,103094
8,Nou Barris,Albert Einstein,170736,12431.811965811965,66780
1,Ciutat Vella,Pl La Puntual,106028,11517.703703703704,33685
3,Sants-Montjuïc,Transversal 12,183770,14625.393162393162,79559
3,Sants-Montjuïc,Ptge Antonio Ruiz ,183770,14625.393162393162,79559
3,Sants-Montjuïc,Ptge Antic Valènci,183770,14625.393162393162,79559
9,Sant Andreu,Gru Baron de Viver,149826,15124.747368421053,65745
8,Nou Barris,Beret,170736,12431.811965811965,66780
7,Horta-Guinardó,Canovelles,172109,15152.317073170732,80895
3,Sants-Montjuïc,Carrera,183770,14625.393162393162,79559
7,Horta-Guinardó,Xiprer,172109,15152.317073170732,80895
7,Horta-Guinardó,Curt,172109,15152.317073170732,80895
7,Horta-Guinardó,Ptge Chapí,172109,15152.317073170732,80895
1,Ciutat Vella,Ptge D St Francesc,106028,11517.703703703704,33685
3,Sants-Montjuïc,Elkano,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,García-Mariño,148201,25606.775510204083,102272
10,Sant Martí,Ciutat de Granada,239465,15323.08843537415,103094
8,Nou Barris,Rda Guineueta Vell,170736,12431.811965811965,66780
4,Les Corts,Csta St Bartomeu Q,81074,22022.035087719298,48622
3,Sants-Montjuïc,Ibèria,183770,14625.393162393162,79559
1,Ciutat Vella,Jaume I,106028,11517.703703703704,33685
1,Ciutat Vella,Magdalenes,106028,11517.703703703704,33685
